run,regime,seed,scorer,lambda,Q,C,frac_strong,fallback_frac
first_run,L1,102001,direct_baseline,100,0.466542,0.00051141,0.45788,0.0
first_run,L1,102001,direct_baseline,150,0.381114,0.0003144,0.28057,0.0
first_run,L1,102001,direct_baseline,200,0.293818,0.0001574,0.11685,0.0
first_run,L1,102001,direct_baseline,300,0.223845,4.94e-05,0.00476,0.0
first_run,L1,102001,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102001,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102001,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102001,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102001,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102001,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102001,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102001,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102001,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102001,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102001,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102001,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102001,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102001,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102001,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102001,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102001,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102001,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102001,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102001,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102001,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102002,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102002,drl_pi,0,0.641984,0.00155042,0.78601,0.0
first_run,L1,102002,drl_pi,10,0.640795,0.00148557,0.77802,0.0
first_run,L1,102002,drl_pi,25,0.637908,0.00139634,0.76885,0.0
first_run,L1,102002,drl_pi,50,0.636719,0.00135444,0.76596,0.0
first_run,L1,102002,drl_pi,100,0.632303,0.00126803,0.7556,0.0
first_run,L1,102002,drl_pi,150,0.605808,0.00116904,0.71332,0.0
first_run,L1,102002,drl_pi,200,0.566406,0.00098157,0.64113,0.0
first_run,L1,102002,drl_pi,300,0.455673,0.00052073,0.45041,0.0
first_run,L1,102002,drl_pi,500,0.387908,0.00033298,0.31946,0.0
first_run,L1,102002,t_learner,0,0.642493,0.00157442,0.79382,0.0
first_run,L1,102002,t_learner,10,0.642493,0.00153875,0.7877,0.0
first_run,L1,102002,t_learner,25,0.640285,0.00142295,0.77836,0.0
first_run,L1,102002,t_learner,50,0.6357,0.00129515,0.76223,0.0
first_run,L1,102002,t_learner,100,0.629586,0.00121731,0.74609,0.0
first_run,L1,102002,t_learner,150,0.621433,0.00114285,0.72368,0.0
first_run,L1,102002,t_learner,200,0.600204,0.00101587,0.67714,0.0
first_run,L1,102002,t_learner,300,0.488281,0.00054602,0.48522,0.0
first_run,L1,102002,t_learner,500,0.407269,0.00033786,0.3305,0.0
first_run,L1,102002,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102002,direct_baseline,10,0.639096,0.00321974,0.98811,0.0
first_run,L1,102002,direct_baseline,25,0.629416,0.00284335,0.9516,0.0
first_run,L1,102002,direct_baseline,50,0.619056,0.00127569,0.75034,0.0
first_run,L1,102002,direct_baseline,100,0.469599,0.00051989,0.46603,0.0
first_run,L1,102002,direct_baseline,150,0.391814,0.00033228,0.30214,0.0
first_run,L1,102002,direct_baseline,200,0.30163,0.00016836,0.12993,0.0
first_run,L1,102002,direct_baseline,300,0.227242,5.285e-05,0.00934,0.0
first_run,L1,102002,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102002,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102002,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102002,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102002,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102002,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102002,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102002,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102002,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102002,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102002,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102002,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102002,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102002,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102002,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102002,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102002,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102002,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102002,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102002,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102002,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102003,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102003,drl_pi,0,0.641644,0.00151847,0.78074,0.0
first_run,L1,102003,drl_pi,10,0.639946,0.00144212,0.77327,0.0
first_run,L1,102003,drl_pi,25,0.637398,0.00139373,0.76766,0.0
first_run,L1,102003,drl_pi,50,0.636209,0.00134532,0.76291,0.0
first_run,L1,102003,drl_pi,100,0.631284,0.00125982,0.7517,0.0
first_run,L1,102003,drl_pi,150,0.604789,0.00116054,0.71009,0.0
first_run,L1,102003,drl_pi,200,0.57303,0.00100509,0.64997,0.0
first_run,L1,102003,drl_pi,300,0.454314,0.00051199,0.44599,0.0
first_run,L1,102003,drl_pi,500,0.38519,0.00033022,0.31692,0.0
first_run,L1,102003,t_learner,0,0.642493,0.00156868,0.79229,0.0
first_run,L1,102003,t_learner,10,0.642493,0.00153426,0.78719,0.0
first_run,L1,102003,t_learner,25,0.640285,0.00142141,0.77819,0.0
first_run,L1,102003,t_learner,50,0.63519,0.00129024,0.76121,0.0
first_run,L1,102003,t_learner,100,0.629586,0.00121671,0.74592,0.0
first_run,L1,102003,t_learner,150,0.621433,0.00114083,0.723,0.0
first_run,L1,102003,t_learner,200,0.598845,0.00100884,0.67459,0.0
first_run,L1,102003,t_learner,300,0.488111,0.00054521,0.48471,0.0
first_run,L1,102003,t_learner,500,0.404552,0.00033244,0.32541,0.0
first_run,L1,102003,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102003,direct_baseline,10,0.639436,0.00324407,0.98913,0.0
first_run,L1,102003,direct_baseline,25,0.630774,0.00285638,0.95397,0.0
first_run,L1,102003,direct_baseline,50,0.619905,0.00128088,0.75306,0.0
first_run,L1,102003,direct_baseline,100,0.466712,0.00050727,0.45109,0.0
first_run,L1,102003,direct_baseline,150,0.38536,0.00031631,0.28057,0.0
first_run,L1,102003,direct_baseline,200,0.302819,0.00017167,0.13332,0.0
first_run,L1,102003,direct_baseline,300,0.225034,5.144e-05,0.00747,0.0
first_run,L1,102003,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102003,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102003,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102003,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102003,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102003,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102003,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102003,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102003,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102003,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102003,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102003,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102003,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102003,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102003,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102003,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102003,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102003,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102003,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102003,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102003,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102004,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102004,drl_pi,0,0.641814,0.00151932,0.78125,0.0
first_run,L1,102004,drl_pi,10,0.640115,0.00145825,0.77395,0.0
first_run,L1,102004,drl_pi,25,0.637908,0.00139669,0.76885,0.0
first_run,L1,102004,drl_pi,50,0.636549,0.00134547,0.76478,0.0
first_run,L1,102004,drl_pi,100,0.631454,0.00125843,0.75255,0.0
first_run,L1,102004,drl_pi,150,0.605299,0.00115615,0.70924,0.0
first_run,L1,102004,drl_pi,200,0.569124,0.00099157,0.64351,0.0
first_run,L1,102004,drl_pi,300,0.451087,0.00050361,0.43682,0.0
first_run,L1,102004,drl_pi,500,0.388247,0.00033473,0.32099,0.0
first_run,L1,102004,t_learner,0,0.642493,0.00157312,0.79348,0.0
first_run,L1,102004,t_learner,10,0.642493,0.00153751,0.78753,0.0
first_run,L1,102004,t_learner,25,0.640285,0.00142141,0.77819,0.0
first_run,L1,102004,t_learner,50,0.6357,0.00129515,0.76223,0.0
first_run,L1,102004,t_learner,100,0.629586,0.00121731,0.74609,0.0
first_run,L1,102004,t_learner,150,0.621433,0.0011424,0.72351,0.0
first_run,L1,102004,t_learner,200,0.600374,0.00101637,0.67731,0.0
first_run,L1,102004,t_learner,300,0.488451,0.0005464,0.48539,0.0
first_run,L1,102004,t_learner,500,0.407269,0.0003377,0.33016,0.0
first_run,L1,102004,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102004,direct_baseline,10,0.639606,0.00323968,0.98998,0.0
first_run,L1,102004,direct_baseline,25,0.631284,0.00286021,0.95448,0.0
first_run,L1,102004,direct_baseline,50,0.618037,0.00128055,0.74117,0.0
first_run,L1,102004,direct_baseline,100,0.460258,0.00049956,0.43088,0.0
first_run,L1,102004,direct_baseline,150,0.382303,0.0003144,0.2804,0.0
first_run,L1,102004,direct_baseline,200,0.307065,0.0001762,0.14062,0.0
first_run,L1,102004,direct_baseline,300,0.225543,5.322e-05,0.00968,0.0
first_run,L1,102004,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102004,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102004,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102004,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102004,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102004,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102004,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102004,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102004,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102004,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102004,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102004,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102004,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102004,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102004,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102004,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102004,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
