budget,valid,n_pos,n_neg,real_only_U,pretrain_U,joint_U,fusion_arm,fusion_U,dU_pretrain,dU_joint,dU_fusion,syn_only_U_NONPROMOTABLE,q_real,q_pretrain,q_joint,q_fusion,c_real,c_pretrain,c_joint,c_fusion,w_syn_sel,m_cls_sel,cv_ll_pretrain,cv_ll_joint
0.5%,False,137,9,,,,,,,,,,,,,,,,,,,,,
1%,True,273,19,0.8453015929624347,0.8453015929624347,0.8453015929624347,joint,0.8453015929624347,0.0,0.0,0.0,0.06183958155016642,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.05,1.0,0.2376520290549041,0.23759366210543958
2%,True,550,34,0.8453015929624347,0.8453015929624347,0.8453015929624347,pretrain,0.8453015929624347,0.0,0.0,0.0,0.06183958155016642,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.05,12.0,0.21588452532112293,0.215950720782019
5%,True,1386,74,0.8453015929624347,0.8453015929624347,0.8453015929624347,joint,0.8453015929624347,0.0,0.0,0.0,0.06183958155016642,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.05,12.0,0.18876889049915208,0.18871078962150772
10%,True,2757,162,0.8453015929624347,0.8453015929624347,0.8453015929624347,joint,0.8453015929624347,0.0,0.0,0.0,0.06183958155016642,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.9365192582025678,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.0018243533048026628,0.25,1.0,0.20043239869260368,0.20027038478803477
