,task_q,task_c,hier_q,hier_c,dQ_pp,dC_rel
0.0,0.6428938508033752,0.0032888834830373526,0.6428938508033752,0.0032888834830373526,0.0,0.0
0.05,0.6428938508033752,0.0032888834830373526,0.6428938508033752,0.0032888834830373526,0.0,0.0
0.1,0.6428938508033752,0.0032888834830373526,0.6428938508033752,0.0032888834830373526,0.0,0.0
0.2,0.6428938508033752,0.0032888834830373526,0.6428938508033752,0.0032888834830373526,0.0,0.0
0.3,0.6428938508033752,0.0032888834830373526,0.6428938508033752,0.0032888834830373526,0.0,0.0
0.5,0.2167300432920456,4.578012158162892e-05,0.2167300432920456,4.578012158162892e-05,0.0,0.0
1.0,0.2167300432920456,4.578012158162892e-05,0.2167300432920456,4.578012158162892e-05,0.0,0.0
