kind,mean_jaccard,mean_post_delta,route_flip_pp,route_flip6_pp,baseline_flip_pp,mean_neff_base,mean_neff_pert,frac_flip_with_support_drop
prefix,0.6911436720892299,0.0371742202341924,7.005823912298732,0.34258307639602603,9.07845152449469,13.809264514147316,13.736174079501167,0.5794621026894865
suffix,0.8586114919364309,0.018422607298123547,5.0359712230215825,0.17129153819801302,9.07845152449469,13.809264514147316,13.869397964041378,0.2653061224489796
format,1.0,2.1054031110164658e-09,0.0,0.0,9.07845152449469,13.809264514147316,13.809264507449706,
meta,0.6382659235235845,0.03897417140222765,11.288112367249058,0.2398081534772182,9.07845152449469,13.809264514147316,13.8254177821095,0.4385432473444613
