GLOBAL,TASK,KNN,HIER,HIER_beats_KNN,HIER_beats_TASK,HIER_beats_GLOBAL
0.521751785683988,0.5205869191627376,0.555398285350732,0.5134371119576211,1,1,1
0.31526789902630553,0.31508841752508276,0.51883385484669,0.3186446604074237,1,0,0
0.5773992443354186,0.576859970978951,0.670692527412353,0.5763945203201181,1,1,1
0.663920382132197,0.6624057186185033,0.7314411918558323,0.6603707840265037,1,1,1
0.5520013574778575,0.5506240156574725,0.5534936448976674,0.5484101394987333,1,1,1
0.7763249380678741,0.7740617643828036,0.7924211117324125,0.7706204612806883,1,1,1
0.573805492192151,0.5727023675304965,0.5992688432517846,0.5707035811094342,1,1,1
0.4008930912789076,0.403513476455388,0.4008196693629711,0.40127955014991956,0,1,0
0.5771588708949758,0.575695326182316,0.6595109119341037,0.5734688771928853,1,1,1
0.4873765647646979,0.4861070954566123,0.5809765630906066,0.4858054094267586,1,1,1
