k,T,kap,GLOBAL_logloss,GLOBAL_brier,TASK_logloss,TASK_brier,KNN_logloss,KNN_brier,HIER_logloss,HIER_brier
8,0.05,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7741057018966455,0.20626675534589753,0.5216437472763793,0.16939193741397882
8,0.05,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7741057018966455,0.20626675534589753,0.5218960511315314,0.1694721702722763
8,0.05,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7741057018966455,0.20626675534589753,0.522011558956919,0.16951080805140353
8,0.1,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7698326632779777,0.2056914299722533,0.5235779757803081,0.17007430638636478
8,0.1,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7698326632779777,0.2056914299722533,0.5220110093636191,0.16950955409419574
8,0.1,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7698326632779777,0.2056914299722533,0.5220018536287211,0.16950680414509314
8,0.2,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7706183143492198,0.20626261908508614,0.533853423262917,0.1739344728028654
8,0.2,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7706183143492198,0.20626261908508614,0.5234425736578499,0.1699980682559964
8,0.2,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.7706183143492198,0.20626261908508614,0.5221247344073464,0.16954498756751532
16,0.05,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6198363141636063,0.194601009261414,0.5216046105665672,0.16938811577625304
16,0.05,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6198363141636063,0.194601009261414,0.5218427384475177,0.16945634008490532
16,0.05,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6198363141636063,0.194601009261414,0.5219925402537572,0.1695046694980793
16,0.1,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150623099135384,0.19335216623377968,0.5246053545137465,0.170461535137556
16,0.1,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150623099135384,0.19335216623377968,0.5220208098565179,0.16951653645703751
16,0.1,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150623099135384,0.19335216623377968,0.5219553345982079,0.1694913358648147
16,0.2,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150269853144327,0.19347325503385768,0.5367934247867137,0.17516010230420567
16,0.2,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150269853144327,0.19347325503385768,0.5241722507137645,0.17026548077270798
16,0.2,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.6150269853144327,0.19347325503385768,0.5220472869925027,0.16951587035973603
32,0.05,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5802955923131947,0.19018420499740663,0.5218076671395447,0.16947929661329894
32,0.05,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5802955923131947,0.19018420499740663,0.5218176085492614,0.1694537229268665
32,0.05,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5802955923131947,0.19018420499740663,0.5219726761911805,0.16949878714518046
32,0.1,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.577168184272942,0.1892780756626357,0.5281747914841157,0.1718576533796434
32,0.1,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.577168184272942,0.1892780756626357,0.5228289233265795,0.16981636511867396
32,0.1,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.577168184272942,0.1892780756626357,0.5220717381483637,0.16953394917758285
32,0.2,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5774492029859387,0.18944979949879173,0.5434827065961157,0.1779977975593083
32,0.2,16,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5774492029859387,0.18944979949879173,0.5276772425654767,0.17161622506540802
32,0.2,64,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5774492029859387,0.18944979949879173,0.5226794567793646,0.16974000040184686
64,0.05,4,0.5227380130248253,0.1697581286414434,0.5220574458069935,0.1695262525790972,0.5771272644149508,0.19030470712074726,0.523044825241298,0.16991293339463692
