seed,alpha,cal_n,threshold,cov_cal,cp_ub,cov_ev,risk_ev,cost_ev,acc_ev,note
0,0.01,11677,0.7674617171287537,0.22197482230024834,0.009821530169827446,0.22385886785989553,0.004973221117061974,0.0014678998372869745,0.6417744283634496,
0,0.025,11677,0.6876132488250732,0.23661899460477862,0.02485617983831585,0.23679027147383747,0.01844484629294756,0.0013949973794639037,0.639205275327567,
0,0.05,11677,0.6185150146484375,0.2558876423738974,0.049797102356961886,0.25708658045730926,0.04163890739506995,0.001315045850817847,0.6345807998629786,
1,0.01,11677,0.7605475187301636,0.2190631155262482,0.009951856940578551,0.22403014472895436,0.006498470948012232,0.0014924963261111588,0.6421169821015672,
1,0.025,11677,0.6893384456634521,0.23173760383660186,0.024969541004041192,0.23764665581913164,0.017657657657657658,0.0014103324655305302,0.6398903828038024,
1,0.05,11677,0.6287714242935181,0.24800890639719106,0.04989950719992223,0.2548599811595444,0.03696236559139785,0.0013423707972938254,0.636122291684508,
2,0.01,11677,0.820835292339325,0.2160657703177186,0.009616009202291114,0.22051896891324826,0.003883495145631068,0.0014737213154063543,0.6383488909822729,
2,0.025,11677,0.6907357573509216,0.23370728783077846,0.024759632234314505,0.2371328252119551,0.01805706031058144,0.0013807274642459535,0.6354371842082727,
2,0.05,11677,0.6348569393157959,0.2507493363021324,0.04972068171948945,0.2503211441294853,0.03147451248717072,0.0013249251177528474,0.6332962233450372,
3,0.01,11677,0.765847384929657,0.21949130769889527,0.009932474742880696,0.22137535325854243,0.005802707930367505,0.0014732912391881476,0.6432302817504496,
3,0.025,11677,0.6893384456634521,0.23310781878907252,0.02482314295391755,0.23507750278324913,0.018214936247723135,0.0013937377237304102,0.640832405583626,
3,0.05,11677,0.6218327283859253,0.25246210499272076,0.04974659381719958,0.25408923524877963,0.041456016177957536,0.001319614010447889,0.6362935685535669,
4,0.01,11677,0.7579998970031738,0.2247152522051897,0.009701949870724735,0.223345037252719,0.009202453987730062,0.0014710186177956666,0.6425451742742143,
4,0.025,11677,0.6918411254882812,0.23773229425366105,0.024740071352488093,0.23507750278324913,0.019672131147540985,0.0013963397105420914,0.6404898518455082,
4,0.05,11677,0.6269583702087402,0.2553738117667209,0.04989694963520547,0.25254774342725017,0.03967446592065107,0.0013261380491564616,0.6372355913333905,
5,0.01,11677,0.8243549466133118,0.21572321657960092,0.009631253548544227,0.21683651622848335,0.002369668246445498,0.0014965196540207245,0.640832405583626,
5,0.025,11677,0.6964215040206909,0.2308812194913077,0.024651156023968206,0.23199451914019012,0.014027316352897749,0.0014194214096086323,0.638605806285861,
5,0.05,11677,0.6201902031898499,0.25220518968913247,0.04979709247998011,0.25306157403442664,0.04094754653130288,0.0013388728440524107,0.6338100539522138,
6,0.01,11677,0.7370554208755493,0.22428706003254262,0.009720441983524779,0.22308812194913077,0.011132437619961612,0.0014829195683822903,0.6425451742742143,
6,0.025,11677,0.6802395582199097,0.23816048642630813,0.024695702555137485,0.23507750278324913,0.026593806921675775,0.0014062974222831205,0.6390339984585082,
6,0.05,11677,0.6087406873703003,0.2600839256658388,0.04969871307791117,0.25802860323713284,0.05575838035180883,0.0013242516399760214,0.6324398389997431,
7,0.01,11677,0.7464178800582886,0.2226599297764837,0.009791359593601627,0.22411578316348377,0.008024455483377914,0.0014560766635265908,0.6398903828038024,
7,0.025,11677,0.6877363920211792,0.23464931061060204,0.024660483644590853,0.2354200565213668,0.019279738086576938,0.0013840325254774345,0.6375781450715081,
7,0.05,11677,0.626726508140564,0.25194827438554424,0.04984769376677893,0.25203391282007365,0.03771661569826707,0.0013209543033313351,0.6346664382975079,
8,0.01,11677,0.776965320110321,0.2247152522051897,0.009701949870724735,0.21932003082983642,0.004685669660288949,0.0014856654448916675,0.6423738974051554,
8,0.025,11677,0.6853975057601929,0.2400445319859553,0.02489676137014175,0.2339642031343667,0.02013177159590044,0.0013998656504239102,0.6392909137620965,
8,0.05,11677,0.621709942817688,0.25965573349319176,0.04978038803724084,0.25203391282007365,0.043493034318722396,0.0013288388969769633,0.6345807998629786,
9,0.01,11677,0.7896250486373901,0.2217179069966601,0.009832892126802687,0.21777853900830693,0.005505308690523005,0.0014736064400102766,0.6453712426136851,
9,0.025,11677,0.6925250887870789,0.23679027147383747,0.02483824611115519,0.23070994262224886,0.017074981440237565,0.0013996697781964546,0.6433159201849791,
9,0.05,11677,0.626726508140564,0.25554508863577974,0.04986362275138773,0.24818018326624988,0.03968253968253968,0.001329305557934401,0.6390339984585082,
