seed,alpha,strat,cov,risk,cost,acc
0,0.01,eval_name,0.22385886785989553,0.004973221117061974,0.0014678998372869745,0.6417744283634496
0,0.01,v1_decision,0.22385886785989553,0.004973221117061974,0.0014678998372869745,0.6417744283634496
0,0.025,eval_name,0.23679027147383747,0.01844484629294756,0.0013949973794639037,0.639205275327567
0,0.025,v1_decision,0.23670463303930805,0.01845151953690304,0.0013953449002312237,0.639205275327567
0,0.05,eval_name,0.25708658045730926,0.04163890739506995,0.001315045850817847,0.6345807998629786
0,0.05,v1_decision,0.25700094202277984,0.04165278240586471,0.0013153933715851676,0.6345807998629786
1,0.01,eval_name,0.2237732294253661,0.006505931879066207,0.0014958442065599042,0.6421169821015672
1,0.01,v1_decision,0.22403014472895436,0.006498470948012232,0.0014924963261111588,0.6421169821015672
1,0.025,eval_name,0.23738974051554337,0.017676767676767676,0.0014136803459792752,0.6398903828038024
1,0.025,v1_decision,0.23764665581913164,0.017657657657657658,0.0014103324655305302,0.6398903828038024
1,0.05,eval_name,0.25460306585595616,0.03699966363942146,0.001345718677742571,0.636122291684508
1,0.05,v1_decision,0.2548599811595444,0.03696236559139785,0.0013423707972938254,0.636122291684508
2,0.01,eval_name,0.22051896891324826,0.003883495145631068,0.0014737213154063543,0.6383488909822729
2,0.01,v1_decision,0.22051896891324826,0.003883495145631068,0.0014737213154063543,0.6383488909822729
2,0.025,eval_name,0.2371328252119551,0.01805706031058144,0.0013807274642459535,0.6354371842082727
2,0.025,v1_decision,0.2371328252119551,0.01805706031058144,0.0013807274642459535,0.6354371842082727
2,0.05,eval_name,0.2503211441294853,0.03147451248717072,0.0013249251177528474,0.6332962233450372
2,0.05,v1_decision,0.2503211441294853,0.03147451248717072,0.0013249251177528474,0.6332962233450372
3,0.01,eval_name,0.22077588421683653,0.0058184639255236615,0.0014803331677656934,0.6432302817504496
3,0.01,v1_decision,0.22137535325854243,0.005802707930367505,0.0014732912391881476,0.6432302817504496
3,0.025,eval_name,0.23447803374154322,0.018261504747991233,0.001400779652307956,0.640832405583626
3,0.025,v1_decision,0.23490622591419028,0.01822821728034998,0.001394765265050955,0.640832405583626
3,0.05,eval_name,0.25348976620707375,0.04155405405405405,0.0013266559390254348,0.6362935685535669
3,0.05,v1_decision,0.2539179583797208,0.04148397976391231,0.001320641551768434,0.6362935685535669
4,0.01,eval_name,0.223345037252719,0.009202453987730062,0.0014710186177956666,0.6425451742742143
4,0.01,v1_decision,0.223345037252719,0.009202453987730062,0.0014710186177956666,0.6425451742742143
4,0.025,eval_name,0.23507750278324913,0.019672131147540985,0.0013963397105420914,0.6404898518455082
4,0.025,v1_decision,0.23490622591419028,0.01968647466277798,0.0013973672518626358,0.6404898518455082
4,0.05,eval_name,0.25254774342725017,0.03967446592065107,0.0013261380491564616,0.6372355913333905
4,0.05,v1_decision,0.2523764665581913,0.03970139124533424,0.0013271655904770062,0.6372355913333905
5,0.01,eval_name,0.21675087779395394,0.002370604504148558,0.0014970873512032204,0.640832405583626
5,0.01,v1_decision,0.21683651622848335,0.002369668246445498,0.0014965196540207245,0.640832405583626
5,0.025,eval_name,0.2319088807056607,0.014032496307237814,0.0014199891067911282,0.638605806285861
5,0.025,v1_decision,0.23173760383660186,0.014042867701404288,0.001420542125545945,0.638605806285861
5,0.05,eval_name,0.25297593559989723,0.04096140825998646,0.0013394405412349062,0.6338100539522138
5,0.05,v1_decision,0.2528046587308384,0.04098915989159892,0.0013399935599897235,0.6338100539522138
6,0.01,eval_name,0.22308812194913077,0.011132437619961612,0.0014829195683822903,0.6425451742742143
6,0.01,v1_decision,0.22308812194913077,0.011132437619961612,0.0014829195683822903,0.6425451742742143
6,0.025,eval_name,0.23507750278324913,0.026593806921675775,0.0014062974222831205,0.6390339984585082
6,0.025,v1_decision,0.23507750278324913,0.026593806921675775,0.0014062974222831205,0.6390339984585082
6,0.05,eval_name,0.25802860323713284,0.05575838035180883,0.0013242516399760214,0.6324398389997431
6,0.05,v1_decision,0.25802860323713284,0.05575838035180883,0.0013242516399760214,0.6324398389997431
7,0.01,eval_name,0.22411578316348377,0.008024455483377914,0.0014560766635265908,0.6398903828038024
7,0.01,v1_decision,0.22411578316348377,0.008024455483377914,0.0014560766635265908,0.6398903828038024
7,0.025,eval_name,0.2354200565213668,0.019279738086576938,0.0013840325254774345,0.6375781450715081
7,0.025,v1_decision,0.2354200565213668,0.019279738086576938,0.0013840325254774345,0.6375781450715081
7,0.05,eval_name,0.25203391282007365,0.03771661569826707,0.0013209543033313351,0.6346664382975079
7,0.05,v1_decision,0.25203391282007365,0.03771661569826707,0.0013209543033313351,0.6346664382975079
8,0.01,eval_name,0.21932003082983642,0.004685669660288949,0.0014856654448916675,0.6423738974051554
8,0.01,v1_decision,0.21932003082983642,0.004685669660288949,0.0014856654448916675,0.6423738974051554
8,0.025,eval_name,0.2339642031343667,0.02013177159590044,0.0013998656504239102,0.6392909137620965
8,0.025,v1_decision,0.2339642031343667,0.02013177159590044,0.0013998656504239102,0.6392909137620965
8,0.05,eval_name,0.25203391282007365,0.043493034318722396,0.0013288388969769633,0.6345807998629786
8,0.05,v1_decision,0.25203391282007365,0.043493034318722396,0.0013288388969769633,0.6345807998629786
9,0.01,eval_name,0.21752162370471867,0.005511811023622047,0.0014764563329622332,0.6453712426136851
9,0.01,v1_decision,0.21777853900830693,0.005505308690523005,0.0014736064400102766,0.6453712426136851
9,0.025,eval_name,0.2304530273186606,0.017094017094017096,0.0014025196711484112,0.6433159201849791
9,0.025,v1_decision,0.23053866575319004,0.017087667161961365,0.00140081693928235,0.6433159201849791
9,0.05,eval_name,0.24792326796266165,0.039723661485319514,0.001332155450886358,0.6390339984585082
9,0.05,v1_decision,0.24800890639719106,0.03970994475138122,0.0013304527190202964,0.6390339984585082
